[Machine Learning] | [机器学习]
parameter | n. 参数  
PS (Parameter Server) | n. 参数服务器  
parameter update | n. 参数更新  
partial derivative | n. 偏导数  
partitioning strategy | n. 划分策略  
performance | n. 性能  
perplexity | n. 困惑度  
pipeline | n. 流水线  
pooling | n. 池化  
positive class | n. 正类别  
precision | n. 精确率  
prediction | n. 预测  
prediction bias | n. 预测偏差  
pre-made Estimator | n. 预创建的评估器
pre-trained model | n. 预训练模型  
prior belief | n. 先验信念  
queue | n. 队列  
rank | n. 等级  
rater | n. 评分者  
recall | n. 召回率  
ReLU (Rectified Linear Unit) | n. 修正线性单元  
regression model | n. 回归模型  
regularization | n. 正则化  
regularization rate | n. 正则化率  
representation | n. 表示法  
receiver operating characteristic | n. 受试者工作特征曲线/ROC曲线
root directory | n. 根目录  
RMSE (Root Mean Squared Error) | n. 均方根误差  
rotational invariance | n. 旋转不变性  
scaling | n. 缩放  
scikit-learn | n. 一个Python软件库，提供各种机器学习算法及工具。
semi-supervised learning | n. 半监督式学习  
sequence model | n. 序列模型  
sigmoid function | n. S型函数  
size invariance | n. 大小不变性  
softmax | n. softmax函数
sparse feature | n. 稀疏特征  
sparse representation | n. 稀疏表示法  
sparsity | n. 稀疏性  
spatial pooling | n. 空间池化  
squared hinge loss | n. 平方合页损失函数  
squared loss | n. 平方损失函数  
static model | n. 静态模型  
stationarity | n. 平稳性  
step | n. 步  
step size | n. 步长  
SGD (stochastic gradient descent) | n. 随机梯度下降法  
SRM (structural risk minimization) | n. 结构风险最小化  
stride | n. 步长  
subsampling | n. 下采样  
summary | n. 总结  
supervised machine learning | n. 监督式机器学习  
synthetic feature | n. 合成特征  
target | n. 目标  
temporal data | n. 时态数据  
Tensor | n. 张量  
TPU (Tensor Processing Unit) | n. 张量处理单元  
Tensor rank | n. 张量等级  
Tensor shape | n. 张量形状  
Tensor size | n. 张量大小  
TensorBoard | n. 一个用以显示TensorFlow程序各种内部运行信息的工具。
TensorFlow | n. 一个由Google主导的开源机器学习平台
test set | n. 测试集  
time series analysis | n. 时间序列分析  
training | n. 训练  
training set | n. 训练集  
transfer learning | n. 迁移学习  
translational invariance | n. 平移不变性  
TN (true negative) | n. 负例  
TP (true positive) | n. 正例  
true positive rate | n. 正例率/TP率
unlabeled example | n. 无标签样本  
unsupervised machine learning | n. 非监督式机器学习  
validation set | n. 验证集  
weight | n. 权重  
wide model | n. 宽度模型  
